collection,run_id,model,variant,batch_size,num_batches,total_tests,total_score,max_score,percentage,temperature,max_tokens,created_at
collection-20251207_041643,openai-gpt-5.1-v4.9-20251207_041550_848263,openai/gpt-5.1,v4.9,30,7,120,2608.41,3900.0,66.88,,,1765098950.8483446
collection-20251207_041643,openai-gpt-5.1-v4.9-20251207_040932_929791,openai/gpt-5.1,v4.9,30,6,120,2640.66,3900.0,67.71,,,1765098572.9298787
collection-20251207_040256,openai-gpt-5-mini-v4.9-20251207_040203_324988,openai/gpt-5-mini,v4.9,30,6,120,2633.16,3900.0,67.52,,,1765098123.3250446
collection-20251207_040256,openai-gpt-5-mini-v4.9-20251207_035811_267612,openai/gpt-5-mini,v4.9,30,6,120,2596.17,3900.0,66.57,,,1765097891.2677112
collection-20251207_040256,openai-gpt-5-mini-v4.9-20251207_035804_323048,openai/gpt-5-mini,v4.9,30,6,120,2597.67,3900.0,66.61,,,1765097884.3231301
collection-20251207_040256,openai-gpt-5-mini-v4.9-20251207_035802_947987,openai/gpt-5-mini,v4.9,30,6,120,2686.99,3900.0,68.9,,,1765097882.948083
collection-20251207_040256,openai-gpt-5-mini-v4.9-20251207_035541_208532,openai/gpt-5-mini,v4.9,30,6,120,2713.67,3900.0,69.58,,,1765097741.2086284
collection-20251207_035325,anthropic-claude-opus-4.5-v4.9-20251207_035227_209140,anthropic/claude-opus-4.5,v4.9,30,7,120,2838.68,3900.0,72.79,,,1765097547.2092667
collection-20251207_035325,anthropic-claude-opus-4.5-v4.9-20251207_035119_021680,anthropic/claude-opus-4.5,v4.9,30,6,120,2807.59,3900.0,71.99,,,1765097479.0217605
collection-20251207_034553,anthropic-claude-sonnet-4.5-v4.9-20251207_034442_195193,anthropic/claude-sonnet-4.5,v4.9,30,6,120,2861.74,3900.0,73.38,,,1765097082.1952822
collection-20251207_034553,anthropic-claude-sonnet-4.5-v4.9-20251207_034441_066916,anthropic/claude-sonnet-4.5,v4.9,30,6,120,2855.16,3900.0,73.21,,,1765097081.0670054
collection-20251207_034553,anthropic-claude-sonnet-4.5-v4.9-20251207_034428_888632,anthropic/claude-sonnet-4.5,v4.9,30,6,120,2802.41,3900.0,71.86,,,1765097068.8887093
collection-20251207_034553,anthropic-claude-sonnet-4.5-v4.9-20251207_034416_635896,anthropic/claude-sonnet-4.5,v4.9,30,6,120,2867.57,3900.0,73.53,,,1765097056.6359835
collection-20251207_034553,anthropic-claude-sonnet-4.5-v4.9-20251207_034333_986633,anthropic/claude-sonnet-4.5,v4.9,30,6,120,2826.24,3900.0,72.47,,,1765097013.9867144
collection-20251207_034137,google-gemini-3-pro-preview-v4.9-20251207_034035_515066,google/gemini-3-pro-preview,v4.9,30,6,120,2689.64,3900.0,68.97,,,1765096835.5151348
collection-20251207_034137,google-gemini-3-pro-preview-v4.9-20251207_034020_164070,google/gemini-3-pro-preview,v4.9,30,6,120,2601.33,3900.0,66.7,,,1765096820.1641657
collection-20251207_034137,google-gemini-3-pro-preview-v4.9-20251207_034002_755464,google/gemini-3-pro-preview,v4.9,30,6,120,2594.65,3900.0,66.53,,,1765096802.7555568
collection-20251207_034137,google-gemini-3-pro-preview-v4.9-20251207_033957_976466,google/gemini-3-pro-preview,v4.9,30,6,120,2555.74,3900.0,65.53,,,1765096797.9765508
collection-20251207_034137,google-gemini-3-pro-preview-v4.9-20251207_033950_940797,google/gemini-3-pro-preview,v4.9,30,6,120,2658.84,3900.0,68.18,,,1765096790.9409008
collection-20251207_033754,google-gemini-2.5-flash-preview-09-2025-v4.9-20251207_033647_620381,google/gemini-2.5-flash-preview-09-2025,v4.9,30,6,120,2644.84,3900.0,67.82,,,1765096607.6204643
collection-20251207_033754,google-gemini-2.5-flash-preview-09-2025-v4.9-20251207_033647_094402,google/gemini-2.5-flash-preview-09-2025,v4.9,30,6,120,2632.58,3900.0,67.5,,,1765096607.094472
collection-20251207_033754,google-gemini-2.5-flash-preview-09-2025-v4.9-20251207_033646_017969,google/gemini-2.5-flash-preview-09-2025,v4.9,30,6,120,2682.43,3900.0,68.78,,,1765096606.0180411
collection-20251207_033754,google-gemini-2.5-flash-preview-09-2025-v4.9-20251207_033645_952419,google/gemini-2.5-flash-preview-09-2025,v4.9,30,6,120,2569.01,3900.0,65.87,,,1765096605.9525192
collection-20251207_033754,google-gemini-2.5-flash-preview-09-2025-v4.9-20251207_033430_256978,google/gemini-2.5-flash-preview-09-2025,v4.9,30,6,120,2706.92,3900.0,69.41,,,1765096470.2570815
